name,lat,lon,type
Racine Ave & 18th St,41.8583996,-87.6564226,bike
Halsted St & 21st St,41.85377981072743,-87.6466029882431,bike
Bernard St & Peterson Ave,41.9904393,-87.715236,bike
Bennett Ave & 79th St,41.751785,-87.578496,bike
Clark St & Touhy Ave,42.01256011541,-87.6743671152,bike
Sedgwick St & Schiller St,41.907626,-87.638566,bike
Grace St & Cicero Ave,41.94973,-87.74695,bike
Ashland Ave & Lake St,41.88592,-87.66717,bike
Cottage Grove Ave & Oakwood Blvd,41.822985,-87.6071,bike
Ravenswood Ave & Irving Park Rd,41.95469,-87.67393,bike
Western Ave & Lake St,41.88481,-87.68668,bike
Damen Ave & Cortland St,41.915983,-87.677335,bike
Stony Island Ave & 64th St,41.778881,-87.586647,bike
Central Ave & Harrison St,41.872993,-87.764499,bike
Michigan Ave & 18th St,41.857926,-87.624336,bike
Menard Ave & Lawrence Ave,41.96788,-87.77274,bike
Nagle Ave & Belmont Ave,41.93852,-87.78735,bike
Kenton Ave & Madison St,41.88042,-87.74108,bike
Fairfield Ave & 44th St,41.813617,-87.6932272,bike
Hoyne Ave & 47th St,41.808227,-87.67718,bike
Western Ave & Walton St,41.89841768945,-87.6865960164,bike
California Ave & 41st St,41.81867,-87.69441,bike
Karlov Ave & Armitage Ave,41.91748,-87.728952,bike
Sheridan Rd & Lawrence Ave,41.969517,-87.654691,bike
Wood St & Augusta Blvd,41.899181,-87.6722,bike
St Louis Ave & 59th St,41.78589,-87.71057,bike
Paulina Ave & North Ave,41.90985465216731,-87.66993016004562,bike
Aberdeen St & Randolph St,41.884114,-87.654264,bike
Homan Ave & 26th St,41.84425,-87.70983,bike
Kedzie Ave & 54th Pl,41.793446,-87.70345,bike
Southport Ave & Wellington Ave,41.93577461766458,-87.66360014677048,bike
Kedvale Ave & Peterson Ave,41.9900762,-87.7317073,bike
Wood St & Chicago Ave,41.895634,-87.672069,bike
Racine Ave & 65th St,41.775393,-87.654308,bike
Damen Ave & Lake St,41.8849659,-87.6768354,bike
Ashland Ave & 63rd St,41.779374,-87.664843,bike
Blackstone Ave & 59th St,41.787877,-87.590461,bike
Milwaukee Ave & Ainslie St,41.96861,-87.76108,bike
Kedzie Ave & Palmer Ct,41.921525,-87.707322,bike
Meade Ave & Fullerton Ave,41.924751,-87.778272,bike
Dearborn St & Erie St,41.893992,-87.629318,bike
Woodlawn Ave & Lake Park Ave,41.81409271048,-87.5970051479,bike
Hoyne Ave & Balmoral Ave,41.979851,-87.681932,bike
Campbell Ave & Fullerton Ave,41.92463247165,-87.6893070063,bike
Halsted St & 96th St,41.719712183618824,-87.6430195569992,bike
Laramie Ave & Kinzie St,41.887832,-87.755527,bike
Knox Ave & Marquette Ave,41.77114,-87.73774,bike
Loomis St & Jackson Blvd,41.877945,-87.662007,bike
Wolcott Ave & Polk St,41.871262,-87.673688,bike
Troy St & Elston Ave,41.94524356848,-87.7066499009,bike
Halsted St & 73rd St,41.76160543804394,-87.64416097666071,bike
Malcolm X College,41.877618,-87.673895,bike
Montrose Harbor,41.963982,-87.638181,bike
Melvina Ave & Giddings Ave,41.96648,-87.78202,bike
Lawndale Ave & 30th St,41.8389124,-87.7168955,bike
Michigan Ave & Madison St,41.882134,-87.625125,bike
21st St & Pulaski Rd,41.85344207588209,-87.72462849736986,bike
Calumet Ave & 35th St,41.831379,-87.618034,bike
Panama Ave & Grace St,41.94766,-87.82925,bike
Broadway & Berwyn Ave,41.978361,-87.659789,bike
Western Ave & 24th St,41.84847,-87.685109,bike
Menard Ave & Milwaukee Ave,41.98139,-87.77331,bike
Princeton Ave & 95th St,41.72175,-87.63075,bike
Burling St & Diversey Pkwy,41.93314,-87.64776,bike
Green St & Madison St,41.881859328038225,-87.64926373958588,bike
Jeffery Blvd & 67th St,41.77351755125,-87.5771428255,bike
Spaulding Ave & 63rd,41.7791655,-87.7056392,bike
Kedzie Ave & 52nd St,41.79906,-87.70342,bike
Blue Island Ave & 18th St,41.857556,-87.661535,bike
Clarendon Ave & Junior Ter,41.961004,-87.649603,bike
Long Ave & Diversey Ave,41.93104,-87.76124,bike
Exchange Ave & 79th St,41.75211500633265,-87.55200700025293,bike
California Ave & Lake St,41.88445395657,-87.6962981368,bike
Damen Ave & 74th St,41.759274039331224,-87.67363429069519,bike
Broadway & Thorndale Ave,41.98974251144,-87.6601406209,bike
Talman Ave & Addison St,41.9466358306,-87.694614758,bike
Mies van der Rohe Way & Chestnut St,41.8985866514,-87.6219152258,bike
Sheffield Ave & Wrightwood Ave,41.928712,-87.653833,bike
Racine Ave & Belmont Ave,41.939743,-87.658865,bike
Broadway & Waveland Ave,41.949074,-87.648636,bike
Sheffield Ave & Fullerton Ave,41.9256163,-87.6536574,bike
Southport Ave & Waveland Ave,41.948226,-87.6640712,bike
Leavitt St & Chicago Ave,41.895501,-87.682017,bike
La Villita Park,41.83925,-87.70202,bike
Harlem Ave & Grace St,41.94894,-87.80683,bike
Overhill Ave & Belmont Ave,41.93799,-87.81915,bike
Clark St & Newport St,41.94454,-87.654678,bike
Clybourn Ave & Division St,41.904613,-87.640552,bike
Kedzie Ave & 73rd St,41.760703,-87.702292,bike
Ashland Ave & Garfield Blvd,41.792822,-87.664429,bike
Eggleston Ave & 69th St,41.768898,-87.635876,bike
Lavergne Ave & Diversey Ave,41.93128,-87.75141,bike
Larrabee St & North Ave,41.91021,-87.6435,bike
Rush St & Superior St,41.89576474564,-87.6259080327,bike
Kedzie Ave & Lake St,41.88460328501,-87.7063037436,bike
Leavitt St & Armitage Ave,41.917805,-87.682437,bike
Benson Ave & Church St,42.048214,-87.683485,bike
California Ave & Madison St,41.88098,-87.69598,bike
Halsted St & Wrightwood Ave,41.929143,-87.649077,bike
Grace St & Central Ave,41.9495327,-87.7672648,bike
State St & 79th St,41.750794,-87.624424,bike
Phillips Ave & 83rd St,41.744531,-87.56506,bike
Stewart Ave & 123rd St,41.6706,-87.63244,bike
Lincoln Ave & Addison St,41.946176,-87.673308,bike
Central St & Girard Ave,42.064313,-87.686152,bike
Wentworth Ave & 33rd St,41.83452988563,-87.6318229814,bike
Wacker Dr & Washington St,41.88314336439022,-87.63724207878113,bike
Wabash Ave & Adams St,41.87947235235,-87.6256886059,bike
Carpenter St & 63rd St,41.77987,-87.650919,bike
Western Ave & Winnebago Ave,41.91552,-87.687022,bike
Stony Island Ave & 63rd St,41.780506,-87.586853,bike
Kosciuszko Park,41.93058537138,-87.7237773635,bike
Altgeld Gardens,41.656665529673724,-87.59880065917969,bike
Shore Dr & 55th St,41.795212,-87.580715,bike
California Ave & Byron St,41.95216219326,-87.698051113,bike
Leavitt St & Archer Ave,41.82879201994,-87.6806044594,bike
Halsted St & 18th St,41.85750568031716,-87.64599144458771,bike
Portage Park,41.95607,-87.76472,bike
Cornell Ave & Hyde Park Blvd,41.802406,-87.586924,bike
Marshfield Ave & 59th St,41.786833,-87.666215,bike
St. Louis & 71st St,41.764354,-87.710121,bike
Michigan Ave & Oak St,41.90096039,-87.62377664,bike
Clark St & Jarvis Ave,42.015963,-87.675005,bike
Normal Ave & Archer Ave,41.849527,-87.640591,bike
Lincoln Ave & Diversey Pkwy,41.932225,-87.658617,bike
Wells St & Randolph St,41.884295,-87.633963,bike
Lake Park Ave & 35th St,41.83127423549,-87.6087991946,bike
Kedzie Ave & Roosevelt Rd,41.86649278172,-87.7064961757,bike
Dorchester Ave & 49th St,41.805772,-87.592464,bike
Halsted St & 111th St,41.69226255589166,-87.64261186122894,bike
Leavitt St/North Ave,41.910077,-87.682306,bike
Sacramento Ave & 51st St,41.80068,-87.69895,bike
Kedzie Ave & Archer Ave,41.81447,-87.70411,bike
Franklin St & Illinois St,41.89102331025185,-87.63547986745834,bike
Laramie Ave & Irving Park Rd,41.9533354,-87.7583844,bike
Artesian Ave & Hubbard St,41.8895,-87.688257,bike
Larrabee St & Webster Ave,41.921822,-87.64414,bike
Budlong Woods Library,41.98366470886,-87.6964225611,bike
Michigan Ave & 71st St,41.765286,-87.621748,bike
Lockwood Ave & Wrightwood Ave,41.927766,-87.758544,bike
Harper Ave & 59th St,41.78794281287,-87.5883151702,bike
Major Ave & Addison St,41.94602,-87.7717,bike
Campbell Ave & North Ave,41.910535,-87.689556,bike
Kedzie Ave & 66th Pl,41.772584,-87.703007,bike
Oriole Ave & Irving Park Rd,41.95224,-87.81697,bike
Sheridan Rd & Noyes St (NU),42.058239,-87.677432,bike
Sacramento Blvd & Franklin Blvd,41.89046879243862,-87.70260751247406,bike
Michigan Ave & 114th St,41.68701479467118,-87.62105226516724,bike
Morgan St & 18th St,41.858086,-87.651073,bike
Farragut Ave & Central Ave,41.97666,-87.76823,bike
Dauphin Ave & 87th St,41.73648,-87.601252,bike
Ogden Ave & Congress Pkwy,41.87501,-87.67328,bike
Sedgwick St & Webster Ave,41.922167,-87.638888,bike
2112 W Peterson Ave,41.991178,-87.683593,bike
Seeley Ave & Garfield Blvd,41.794087,-87.675478,bike
Streeter Dr/Grand Ave,41.892401,-87.612388,bike
Albany Ave & Bloomingdale Ave,41.91402671273,-87.705126462,bike
Western Ave & 111th St,41.691211034981045,-87.68129736185074,bike
Clark St & Leland Ave,41.96708783918421,-87.66729086637497,bike
Walsh Park,41.91461,-87.667968,bike
Clark St & North Ave,41.911974,-87.631942,bike
Long Ave & Belmont Ave,41.93833,-87.76166,bike
Adler Planetarium,41.866095,-87.607267,bike
Sheridan Rd & Columbia Ave,42.004583,-87.661406,bike
Lawndale Ave & 59th St,41.78638,-87.7157,bike
Eastlake Ter & Howard St,42.01920250193227,-87.66430288553238,bike
Keystone Ave & Fullerton Ave,41.92459,-87.72785,bike
Lamon Ave & Armitage Ave,41.91676,-87.749458,bike
Long Ave & North Ave,41.9092147,-87.7609189,bike
